Concurso;Data do Sorteio;Bola1;Bola2;Bola3;Bola4;Bola5;Bola6;Ganhadores 6 acertos;Cidade / UF;Rateio 6 acertos;Ganhadores 5 acertos;Rateio 5 acertos;Ganhadores 4 acertos;Rateio 4 acertos;Acumulado 6 acertos;Arrecadação Total;Estimativa prêmio;Acumulado Sorteio Especial Mega da Virada;Observação
70;06/07/1997;17;23;27;40;43;58;0;;R$0,00;95;R$12.899,52;6071;R$201,46;R$14.883.849,29;R$0,00;R$0,00;R$0,00;
71;13/07/1997;16;27;33;43;45;53;0;;R$0,00;115;R$12.451,74;7430;R$192,35;R$16.602.188,45;R$0,00;R$0,00;R$0,00;
72;20/07/1997;1;19;34;43;44;48;0;;R$0,00;85;R$19.676,33;7982;R$209,13;R$18.609.174,26;R$0,00;R$0,00;R$0,00;
73;27/07/1997;25;26;28;45;51;57;1;BA;R$21.026.575,40;95;R$21.205,27;8222;R$244,52;R$0,00;R$0,00;R$0,00;R$0,00;GANHADOR: BA - SALVADOR
74;03/08/1997;2;24;34;37;38;50;0;;R$0,00;40;R$18.257,68;3321;R$219,48;R$876.368,71;R$0,00;R$0,00;R$0,00;
75;10/08/1997;21;24;35;36;37;49;0;;R$0,00;70;R$12.395,02;5032;R$172,09;R$1.917.550,02;R$0,00;R$0,00;R$0,00;
76;17/08/1997;8;17;18;23;33;53;0;;R$0,00;92;R$10.247,61;6399;R$147,04;R$3.048.886,14;R$0,00;R$0,00;R$0,00;
77;24/08/1997;21;29;40;49;54;57;0;;R$0,00;20;R$49.648,81;2635;R$376,09;R$4.240.457,60;R$0,00;R$0,00;R$0,00;
78;31/08/1997;12;22;25;31;32;46;0;;R$0,00;103;R$9.907,36;5984;R$170,19;R$5.465.006,39;R$0,00;R$0,00;R$0,00;
79;07/09/1997;2;13;17;25;31;43;1;RS;R$6.770.601,75;247;R$4.404,85;13375;R$81,18;R$0,00;R$0,00;R$0,00;R$0,00;O ganhador da SENA do Estado do Rio Grande do Sul
80;14/09/1997;23;28;37;40;48;51;0;;R$0,00;43;R$26.443,00;4284;R$264,89;R$10.953.707,53;R$0,00;R$0,00;R$0,00;
81;21/09/1997;10;23;41;47;54;60;0;;R$0,00;62;R$19.453,15;4870;R$247,17;R$12.401.021,68;R$0,00;R$0,00;R$0,00;
82;28/09/1997;15;18;29;36;51;53;1;BA;R$13.877.826,02;77;R$15.982,73;5889;R$208,57;R$0,00;R$0,00;R$0,00;R$0,00;Ganhador da SENA do Estado da Bahia.
83;05/10/1997;4;15;16;24;42;57;0;;R$0,00;76;R$9.408,43;4756;R$150,04;R$858.048,93;R$0,00;R$0,00;R$0,00;
84;12/10/1997;4;6;10;25;34;40;0;;R$0,00;102;R$7.539,68;5546;R$138,40;R$1.780.905,80;R$0,00;R$0,00;R$0,00;
85;19/10/1997;6;15;30;37;45;47;0;;R$0,00;45;R$17.279,25;4312;R$179,96;R$2.713.984,86;R$0,00;R$0,00;R$0,00;
86;26/10/1997;6;21;22;34;36;54;0;;R$0,00;48;R$16.752,96;3752;R$213,90;R$3.678.955,17;R$0,00;R$0,00;R$0,00;
87;02/11/1997;4;5;11;28;32;40;0;;R$0,00;64;R$12.696,60;5195;R$156,11;R$4.654.053,86;R$0,00;R$0,00;R$0,00;A SENA ESTA ACUMULADA.
88;09/11/1997;4;18;29;37;43;45;0;;R$0,00;110;R$7.965,82;6805;R$128,51;R$5.705.540,99;R$0,00;R$0,00;R$0,00;A MEGASENA ESTA ACUMULADA
89;16/11/1997;13;34;42;44;55;59;0;;R$0,00;36;R$24.246,00;3847;R$226,45;R$6.752.968,26;R$0,00;R$0,00;R$0,00;A MEGA SENA EST- ACUMULADA.
90;23/11/1997;9;21;26;40;52;54;1;RJ;R$15.764.300,87;74;R$18.584,49;4763;R$288,17;R$0,00;R$0,00;R$0,00;R$0,00;ESTADO CONTEMPLADO COM SENA: RIO DE JANEIRO
91;30/11/1997;2;4;10;35;39;60;0;;R$0,00;68;R$9.588,80;3878;R$167,81;R$782.445,93;R$0,00;R$0,00;R$0,00;
92;07/12/1997;1;3;5;23;24;51;0;;R$0,00;75;R$9.792,64;5530;R$132,56;R$1.663.783,45;R$0,00;R$0,00;R$0,00;
93;14/12/1997;2;22;28;31;36;53;0;;R$0,00;61;R$12.369,31;3795;R$198,44;R$2.569.217,31;R$0,00;R$0,00;R$0,00;
94;21/12/1997;8;18;28;51;52;55;0;;R$0,00;25;R$31.457,49;2086;R$376,26;R$3.512.942,16;R$0,00;R$0,00;R$0,00;
95;28/12/1997;6;40;45;46;50;60;0;;R$0,00;22;R$30.807,89;2185;R$309,58;R$4.326.270,55;R$0,00;R$0,00;R$0,00;
96;04/01/1998;4;7;26;40;42;58;1;;R$5.218.562,47;62;R$11.993,17;3984;R$186,27;R$0,00;R$0,00;R$0,00;R$0,00;Ganhador da SENA do Estado da Bahia.
97;11/01/1998;5;11;14;35;53;56;1;;R$727.932,66;56;R$10.832,33;3441;R$175,94;R$0,00;R$0,00;R$0,00;R$0,00;Ganhador da SENA do Estado de Minas Gerais.
98;18/01/1998;13;14;31;33;35;43;0;;R$0,00;89;R$6.508,88;4972;R$116,28;R$695.149,05;R$0,00;R$0,00;R$0,00;
99;25/01/1998;11;24;30;33;46;60;0;;R$0,00;46;R$14.037,92;3015;R$213,76;R$1.470.041,96;R$0,00;R$0,00;R$0,00;A MEGA EST- ACUMULADA ! ! !
100;01/02/1998;14;29;30;46;48;51;0;;R$0,00;56;R$15.930,48;3600;R$247,32;R$8.585.129,47;R$0,00;R$0,00;R$0,00;
101;08/02/1998;1;18;29;31;37;39;0;;R$0,00;52;R$20.589,41;4653;R$229,64;R$9.869.908,65;R$0,00;R$0,00;R$0,00;A MEGA EST-  A C U M U L A D A  ! ! !
102;15/02/1998;19;20;37;42;44;56;1;;R$11.336.626,88;73;R$16.743,36;6197;R$196,85;R$0,00;R$0,00;R$0,00;R$0,00;Ganhador da SENA do Estado de Minas Gerais.
103;22/02/1998;1;7;9;49;54;57;1;;R$696.984,24;28;R$20.743,58;2632;R$220,24;R$0,00;R$0,00;R$0,00;R$0,00;GANHADOR DA SENA DO ESTADO DO PARAN-
104;01/03/1998;1;4;13;21;38;52;0;;R$0,00;37;R$14.006,33;2588;R$199,85;R$621.880,72;R$0,00;R$0,00;R$0,00;A C U M U L O U !!!
105;08/03/1998;3;13;31;43;46;49;0;;R$0,00;55;R$11.824,08;4875;R$133,14;R$1.402.269,88;R$0,00;R$0,00;R$0,00;A MEGA-SENA EST- ACUMULADA ! ! !
106;15/03/1998;5;16;24;35;38;39;0;;R$0,00;94;R$7.678,27;5390;R$133,65;R$2.268.378,66;R$9.795.278,00;R$3.000.000,00;R$0,00;
107;22/03/1998;2;4;16;24;51;52;0;;R$0,00;35;R$21.494,23;3554;R$211,26;R$3.171.136,01;R$0,00;R$0,00;R$0,00;A MEGA EST- ACUMULADA ! ! !
108;29/03/1998;21;24;29;34;59;60;0;;R$0,00;35;R$22.511,72;2453;R$320,57;R$4.116.628,49;R$0,00;R$0,00;R$0,00;
109;04/04/1998;1;13;44;48;49;54;0;;R$0,00;39;R$21.153,30;3881;R$212,15;R$11.523.677,38;R$0,00;R$0,00;R$0,00;A MEGA-SENA EST- ACUMULADA ! ! !
110;11/04/1998;18;31;43;52;57;58;0;;R$0,00;35;R$27.771,48;3212;R$302,01;R$12.690.079,16;R$0,00;R$0,00;R$0,00;
111;18/04/1998;4;22;25;32;33;52;0;;R$0,00;68;R$18.082,94;6109;R$200,88;R$14.165.647,19;R$0,00;R$0,00;R$0,00;
112;25/04/1998;12;20;34;37;42;43;1;;R$15.802.579,93;137;R$9.957,01;8340;R$163,25;R$0,00;R$0,00;R$0,00;R$0,00;"01 GANHADOR DO ESTADO DO ""RIO GRANDE DO NORTE"""
113;02/05/1998;7;26;28;34;54;55;0;;R$0,00;38;R$14.269,55;2572;R$210,40;R$650.691,40;R$0,00;R$0,00;R$0,00;
114;09/05/1998;6;12;18;37;47;54;0;;R$0,00;71;R$9.626,08;4908;R$138,99;R$1.470.833,69;R$0,00;R$0,00;R$0,00;
115;16/05/1998;4;6;14;20;24;38;0;;R$0,00;78;R$9.283,10;5091;R$141,95;R$2.339.731,79;R$0,00;R$0,00;R$0,00;A MEGA-SENA EST- ACUMULADA !!!
116;23/05/1998;5;13;32;36;42;51;0;;R$0,00;64;R$11.956,28;5270;R$144,91;R$3.257.973,62;R$10.384.878,00;R$4.200.000,00;R$0,00;
117;30/05/1998;20;25;27;33;42;53;0;;R$0,00;36;R$22.046,87;3822;R$207,26;R$4.210.398,41;R$0,00;R$0,00;R$0,00;
118;06/06/1998;9;22;25;37;56;57;0;;R$0,00;53;R$16.052,88;4342;R$195,56;R$5.231.361,36;R$0,00;R$0,00;R$0,00;A MEGA-SENA EST- ACUMULADA ! ! !
119;13/06/1998;1;21;36;38;47;50;0;;R$0,00;21;R$38.921,16;2691;R$303,13;R$13.206.225,91;R$0,00;R$0,00;R$0,00;
120;20/06/1998;3;16;27;40;45;46;0;;R$0,00;92;R$13.020,97;7073;R$169,04;R$14.643.740,70;R$0,00;R$0,00;R$0,00;
121;27/06/1998;2;29;41;44;53;55;0;;R$0,00;45;R$28.917,00;4554;R$285,17;R$16.205.258,33;R$0,00;R$0,00;R$0,00;A MEGA-SENA EST- ACUMULADA ! ! !
122;04/07/1998;11;17;20;39;43;53;0;;R$0,00;83;R$18.210,45;7203;R$209,43;R$18.019.018,95;R$0,00;R$0,00;R$0,00;
123;11/07/1998;13;14;16;26;32;42;0;;R$0,00;176;R$12.440,56;13159;R$166,06;R$20.646.465,28;R$0,00;R$0,00;R$0,00;A MEGA-SENA ACUMULOU (11¬ Vez)
124;18/07/1998;5;15;34;41;52;57;1;;R$24.536.288,72;188;R$17.242,12;14019;R$230,76;R$0,00;R$0,00;R$0,00;R$0,00;O PREMIO PRINCIPAL SAIU PARA A CIDADE DE VILA VELHA NO ESTADO DO ESPIRITO SANTO.
125;25/07/1998;25;41;47;53;56;59;0;;R$0,00;46;R$15.425,68;2784;R$254,38;R$851.497,47;R$0,00;R$0,00;R$0,00;
126;01/08/1998;6;10;11;28;32;40;0;;R$0,00;83;R$10.052,56;5510;R$151,13;R$1.852.731,83;R$0,00;R$0,00;R$0,00;A MEGA-SENA EST- ACUMULADA ! ! !
127;08/08/1998;21;29;50;51;54;59;0;;R$0,00;40;R$23.638,47;2613;R$361,14;R$2.987.378,17;R$0,00;R$0,00;R$0,00;
128;15/08/1998;3;9;18;21;23;43;0;;R$0,00;973;R$1.024,41;11715;R$84,91;R$4.183.483,50;R$0,00;R$0,00;R$0,00;
129;22/08/1998;1;9;10;32;46;54;0;;R$0,00;67;R$15.634,41;5320;R$196,51;R$5.440.490,00;R$0,00;R$0,00;R$0,00;A MEGA-SENA EST- BIG ACUMULADA ! ! !
130;29/08/1998;13;29;38;42;49;53;0;;R$0,00;155;R$11.796,24;11403;R$160,03;R$18.814.958,31;R$0,00;R$0,00;R$0,00;
131;05/09/1998;4;9;17;27;30;44;0;;R$0,00;361;R$6.811,67;21683;R$113,19;R$21.765.774,49;R$0,00;R$0,00;R$0,00;
132;12/09/1998;7;9;35;41;44;50;0;;R$0,00;143;R$20.846,64;12179;R$244,29;R$25.343.057,89;R$0,00;R$0,00;R$0,00;A MEGA CONTINUA ACUMULADA - Previsão de Prêmio para o Conc.133 = 29.000.000,00
133;19/09/1998;5;6;19;34;39;57;1;;R$30.533.241,12;431;R$10.035,16;29264;R$147,51;R$0,00;R$0,00;R$0,00;R$0,00;ESTADO CONTEMPLADO COM SENA: 01 MINAS GERAIS.
134;26/09/1998;4;25;32;36;52;60;0;;R$0,00;82;R$10.253,38;4575;R$183,42;R$1.008.932,39;R$0,00;R$0,00;R$0,00;
135;03/10/1998;21;22;35;40;53;59;0;;R$0,00;40;R$24.573,18;3604;R$272,19;R$2.188.444,72;R$0,00;R$0,00;R$0,00;A MEGA-SENA ESTÁ ACUMULADA ! ! !
136;10/10/1998;1;17;25;38;45;59;0;;R$0,00;126;R$8.435,36;7403;R$143,29;R$3.463.871,17;R$0,00;R$0,00;R$0,00;
137;17/10/1998;15;16;19;22;26;49;0;;R$0,00;88;R$12.675,49;6701;R$166,13;R$4.802.402,93;R$0,00;R$0,00;R$0,00;A MEGA-SENA ESTÁ ACUMULADA ! ! !
138;24/10/1998;5;14;27;37;40;41;0;;R$0,00;86;R$14.074,36;6953;R$173,74;R$6.254.876,80;R$0,00;R$0,00;R$0,00;
139;31/10/1998;3;13;26;27;41;42;2;;R$3.902.486,14;179;R$7.216,46;9401;R$137,14;R$0,00;R$0,00;R$0,00;R$0,00;02 Ganhadores do Estado de SÃO PAULO (Taubaté e São Paulo-Capital)
140;07/11/1998;7;31;41;44;46;55;0;;R$0,00;45;R$36.581,33;4945;R$332,24;R$16.453.628,31;R$0,00;R$0,00;R$0,00;
141;14/11/1998;10;13;22;41;42;58;0;;R$0,00;119;R$20.106,10;10533;R$226,70;R$19.324.778,90;R$0,00;R$0,00;R$0,00;A MEGA-SENA ESTÁ ACUMULADA.  PREVISÃO DO PRÊMIO: 23 Milhões. ! ! !
142;21/11/1998;8;15;19;20;54;59;0;;R$0,00;162;R$18.143,56;13991;R$209,66;R$22.851.887,24;R$0,00;R$0,00;R$0,00;A MEGA-SENA  CONTINUA   A C U M U L A A A D A !
143;28/11/1998;6;18;20;40;50;53;0;;R$0,00;144;R$24.792,99;10994;R$324,10;R$27.136.115,88;R$0,00;R$0,00;R$0,00;A MEGA ACUMULOU  E  A  BOLADA ESTARÁ BEM MAIOR ! ! !
144;05/12/1998;8;32;36;44;45;55;1;;R$33.597.755,21;257;R$20.952,14;23952;R$224,38;R$0,00;R$0,00;R$0,00;R$0,00;ESTADO CONTEMPLADO COM A SENA: RONDONIA - CIDADE PORTO VELHO.
145;12/12/1998;15;16;31;41;43;51;0;;R$0,00;71;R$15.061,27;3389;R$314,91;R$1.283.220,59;R$0,00;R$0,00;R$0,00;A C U M U L O U  ! ! !
146;19/12/1998;25;32;34;42;51;60;0;;R$0,00;51;R$23.923,45;4079;R$298,52;R$2.747.335,81;R$0,00;R$0,00;R$0,00;
147;24/12/1998;6;16;23;24;28;38;1;;R$3.805.750,38;75;R$11.760,17;5418;R$162,48;R$0,00;R$0,00;R$0,00;R$0,00;01 Ganhador da MEGA  -  Distrito Federal
148;31/12/1998;32;35;41;55;58;59;0;;R$0,00;15;R$53.660,04;2322;R$345,95;R$965.880,61;R$0,00;R$0,00;R$0,00;
149;09/01/1999;7;11;20;28;45;48;0;;R$0,00;106;R$9.795,13;6290;R$164,74;R$2.211.820,94;R$0,00;R$0,00;R$0,00;A MEGA ACUMULOU - O prêmio do CONC.150 pode chegar a 21,2 Milhões.
150;16/01/1999;12;44;50;52;54;55;0;;R$0,00;56;R$36.378,71;5540;R$367,00;R$21.414.530,14;R$0,00;R$0,00;R$0,00;
151;23/01/1999;3;16;20;43;52;56;1;;R$24.091.811,02;152;R$14.678,07;9869;R$225,62;R$0,00;R$0,00;R$0,00;R$0,00;Ganhador da SENA do Estado do Rio Grande do Norte.
152;30/01/1999;5;12;15;29;51;58;0;;R$0,00;75;R$11.562,39;5041;R$172,03;R$1.040.614,80;R$0,00;R$0,00;R$0,00;A MEGA-SENA acumulou em mais de 1 milhão de reais.
153;06/02/1999;2;30;31;42;45;47;0;;R$0,00;47;R$22.846,45;4218;R$254,57;R$2.329.154,62;R$0,00;R$0,00;R$0,00;
154;13/02/1999;8;10;24;33;45;48;0;;R$0,00;144;R$7.888,29;9252;R$122,78;R$3.692.251,60;R$0,00;R$0,00;R$0,00;A MEGA ESTÁ ACUMULADA - Próximo Conc. 155, será dia 20/02/1999
155;20/02/1999;12;30;32;35;43;44;1;;R$4.988.808,21;67;R$16.126,32;4974;R$217,22;R$0,00;R$0,00;R$0,00;R$0,00;Ganhador da SENA da cidade de Foz do Iguaçu - Estado do Paraná.
156;27/02/1999;17;23;42;49;52;55;0;;R$0,00;74;R$11.018,10;4455;R$183,02;R$978.407,41;R$0,00;R$0,00;R$0,00;A MEGA-SENA   está  A C U M U L A D A !!!
157;06/03/1999;4;13;17;21;41;44;1;;R$2.140.030,92;134;R$7.224,03;8894;R$108,84;R$0,00;R$0,00;R$0,00;R$0,00;Ganhador da SENA do Estado de Goiás.
158;13/03/1999;4;14;17;43;51;58;0;;R$0,00;31;R$25.856,53;3630;R$220,81;R$961.863,12;R$0,00;R$0,00;R$0,00;A  Mega-Sena   A C U M U L O U  !!!
